,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-06-04,202.5066184576549,177.5904172100837,201.78066555659328,202.5066184576549,202.5066184576549,-13.12585335487458,-13.12585335487458,-13.12585335487458,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142424985,-2.7481718142424985,-2.7481718142424985,-5.802279947773042,-5.802279947773042,-5.802279947773042,0.0,0.0,0.0,189.38076510278032
1,2021-06-04,202.5066184576549,177.38363370174943,202.31277848761536,202.5066184576549,202.5066184576549,-13.12585335487458,-13.12585335487458,-13.12585335487458,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142424985,-2.7481718142424985,-2.7481718142424985,-5.802279947773042,-5.802279947773042,-5.802279947773042,0.0,0.0,0.0,189.38076510278032
2,2021-06-11,203.35623894683087,177.20412033564165,202.8717852053132,203.33741004992518,203.3638088574643,-13.32150121996639,-13.32150121996639,-13.32150121996639,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142416702,-2.7481718142416702,-2.7481718142416702,-5.99792781286568,-5.99792781286568,-5.99792781286568,0.0,0.0,0.0,190.03473772686448
3,2021-06-11,203.35623894683087,178.32063694381162,203.05999691019076,203.33741004992518,203.3638088574643,-13.32150121996639,-13.32150121996639,-13.32150121996639,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142416702,-2.7481718142416702,-2.7481718142416702,-5.99792781286568,-5.99792781286568,-5.99792781286568,0.0,0.0,0.0,190.03473772686448
4,2021-06-18,204.20585943600685,177.84379328790908,202.41619265326884,204.13838322749191,204.2707369981015,-13.754664955172403,-13.754664955172403,-13.754664955172403,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433986,-2.7481718142433986,-2.7481718142433986,-6.431091548069966,-6.431091548069966,-6.431091548069966,0.0,0.0,0.0,190.45119448083443
5,2021-06-18,204.20585943600685,178.6330182359836,201.98820873198758,204.13838322749191,204.2707369981015,-13.754664955172403,-13.754664955172403,-13.754664955172403,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433986,-2.7481718142433986,-2.7481718142433986,-6.431091548069966,-6.431091548069966,-6.431091548069966,0.0,0.0,0.0,190.45119448083443
6,2021-06-25,205.05547992518282,178.4196960915108,203.09821090691392,204.93176805708686,205.17441355558583,-14.348984378891062,-14.348984378891062,-14.348984378891062,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243187,-2.748171814243187,-2.748171814243187,-7.025410971788835,-7.025410971788835,-7.025410971788835,0.0,0.0,0.0,190.70649554629176
7,2021-06-25,205.05547992518282,178.86103773718756,203.27405954762722,204.93176805708686,205.17441355558583,-14.348984378891062,-14.348984378891062,-14.348984378891062,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243187,-2.748171814243187,-2.748171814243187,-7.025410971788835,-7.025410971788835,-7.025410971788835,0.0,0.0,0.0,190.70649554629176
8,2021-07-02,205.90510041435886,179.30705539612296,203.8762218091393,205.69241876158276,206.1101559947565,-14.659707549181519,-14.659707549181519,-14.659707549181519,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142429745,-2.7481718142429745,-2.7481718142429745,-7.336134142079504,-7.336134142079504,-7.336134142079504,0.0,0.0,0.0,191.24539286517734
9,2021-07-02,205.90510041435886,179.69015858568127,203.3337710486177,205.69241876158276,206.1101559947565,-14.659707549181519,-14.659707549181519,-14.659707549181519,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142429745,-2.7481718142429745,-2.7481718142429745,-7.336134142079504,-7.336134142079504,-7.336134142079504,0.0,0.0,0.0,191.24539286517734
10,2021-07-09,206.7547209035348,180.1871825227355,204.4984691496489,206.44942698277472,207.03465301288261,-13.915322531091821,-13.915322531091821,-13.915322531091821,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142421463,-2.7481718142421463,-2.7481718142421463,-6.591749123990636,-6.591749123990636,-6.591749123990636,0.0,0.0,0.0,192.839398372443
11,2021-07-09,206.7547209035348,180.8665693844332,204.79543306129264,206.44942698277472,207.03465301288261,-13.915322531091821,-13.915322531091821,-13.915322531091821,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142421463,-2.7481718142421463,-2.7481718142421463,-6.591749123990636,-6.591749123990636,-6.591749123990636,0.0,0.0,0.0,192.839398372443
12,2021-07-16,207.60434139271078,183.1758542168239,208.26829857697237,207.20800078626993,208.0045442802104,-11.984104409519215,-11.984104409519215,-11.984104409519215,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142425504,-2.7481718142425504,-2.7481718142425504,-4.660531002417626,-4.660531002417626,-4.660531002417626,0.0,0.0,0.0,195.62023698319157
13,2021-07-16,207.60434139271078,184.5711764063804,208.2083150852953,207.20800078626993,208.0045442802104,-11.984104409519215,-11.984104409519215,-11.984104409519215,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142425504,-2.7481718142425504,-2.7481718142425504,-4.660531002417626,-4.660531002417626,-4.660531002417626,0.0,0.0,0.0,195.62023698319157
14,2021-07-23,208.4539618818868,186.3249188827772,210.99791587859963,207.9670483553924,208.98980066463156,-10.060149406461258,-10.060149406461258,-10.060149406461258,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814241722,-2.748171814241722,-2.748171814241722,-2.7365759993604977,-2.7365759993604977,-2.7365759993604977,0.0,0.0,0.0,198.39381247542556
15,2021-07-23,208.4539618818868,185.68129740700354,210.57114103479017,207.9670483553924,208.98980066463156,-10.060149406461258,-10.060149406461258,-10.060149406461258,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814241722,-2.748171814241722,-2.748171814241722,-2.7365759993604977,-2.7365759993604977,-2.7365759993604977,0.0,0.0,0.0,198.39381247542556
16,2021-07-30,209.3035823710628,186.99369219631657,211.30929472991812,208.69169099937017,209.9719135164264,-9.7838779521831,-9.7838779521831,-9.7838779521831,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142434506,-2.7481718142434506,-2.7481718142434506,-2.4603045450806107,-2.4603045450806107,-2.4603045450806107,0.0,0.0,0.0,199.51970441887968
17,2021-07-30,209.3035823710628,187.38247073743617,211.02830965744545,208.69169099937017,209.9719135164264,-9.7838779521831,-9.7838779521831,-9.7838779521831,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142434506,-2.7481718142434506,-2.7481718142434506,-2.4603045450806107,-2.4603045450806107,-2.4603045450806107,0.0,0.0,0.0,199.51970441887968
18,2021-08-06,210.1532028602387,187.4158424344345,210.67340876618175,209.34762509905698,210.93987824921652,-11.416216244707856,-11.416216244707856,-11.416216244707856,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142432388,-2.7481718142432388,-2.7481718142432388,-4.092642837605578,-4.092642837605578,-4.092642837605578,0.0,0.0,0.0,198.73698661553084
19,2021-08-06,210.1532028602387,187.250169274461,210.15689853989883,209.34762509905698,210.93987824921652,-11.416216244707856,-11.416216244707856,-11.416216244707856,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142432388,-2.7481718142432388,-2.7481718142432388,-4.092642837605578,-4.092642837605578,-4.092642837605578,0.0,0.0,0.0,198.73698661553084
20,2021-08-13,211.00282334941477,185.91469875874762,209.59552042598165,210.0557075474947,211.9486197154546,-13.183656723801045,-13.183656723801045,-13.183656723801045,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243027,-2.748171814243027,-2.748171814243027,-5.8600833166989785,-5.8600833166989785,-5.8600833166989785,0.0,0.0,0.0,197.81916662561372
21,2021-08-13,211.00282334941477,185.76767515826364,209.65615166275384,210.0557075474947,211.9486197154546,-13.183656723801045,-13.183656723801045,-13.183656723801045,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243027,-2.748171814243027,-2.748171814243027,-5.8600833166989785,-5.8600833166989785,-5.8600833166989785,0.0,0.0,0.0,197.81916662561372
22,2021-08-20,211.85244383859074,187.1275663602544,211.08178839775658,210.75220090293118,212.94991684696427,-12.85034923647605,-12.85034923647605,-12.85034923647605,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142421983,-2.7481718142421983,-2.7481718142421983,-5.526775829374813,-5.526775829374813,-5.526775829374813,0.0,0.0,0.0,199.00209460211468
23,2021-08-20,211.85244383859074,187.332188019408,211.87331759429767,210.75220090293118,212.94991684696427,-12.85034923647605,-12.85034923647605,-12.85034923647605,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142421983,-2.7481718142421983,-2.7481718142421983,-5.526775829374813,-5.526775829374813,-5.526775829374813,0.0,0.0,0.0,199.00209460211468
24,2021-08-27,212.70206432776672,189.96797512454336,215.74447961901026,211.46865361999818,213.9173631428208,-9.992773701596436,-9.992773701596436,-9.992773701596436,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.74817181424137,-2.74817181424137,-2.74817181424137,-2.669200294496026,-2.669200294496026,-2.669200294496026,0.0,0.0,0.0,202.7092906261703
25,2021-08-27,212.70206432776672,191.3943742206076,215.60136992115366,211.46865361999818,213.9173631428208,-9.992773701596436,-9.992773701596436,-9.992773701596436,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.74817181424137,-2.74817181424137,-2.74817181424137,-2.669200294496026,-2.669200294496026,-2.669200294496026,0.0,0.0,0.0,202.7092906261703
26,2021-09-03,213.55168481694264,194.94168701066855,219.6457119234988,212.15843480123863,214.90391866702558,-6.482125805994512,-6.482125805994512,-6.482125805994512,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142417746,-2.7481718142417746,-2.7481718142417746,0.8414476011063,0.8414476011063,0.8414476011063,0.0,0.0,0.0,207.06955901094813
27,2021-09-03,213.55168481694264,194.4398794090695,219.37788522189086,212.15843480123863,214.90391866702558,-6.482125805994512,-6.482125805994512,-6.482125805994512,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142417746,-2.7481718142417746,-2.7481718142417746,0.8414476011063,0.8414476011063,0.8414476011063,0.0,0.0,0.0,207.06955901094813
28,2021-09-10,214.40130530611867,197.1324887373406,222.4668811222656,212.81541926607628,215.92902975683938,-4.631975176005516,-4.631975176005516,-4.631975176005516,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142409464,-2.7481718142409464,-2.7481718142409464,2.691598231094469,2.691598231094469,2.691598231094469,0.0,0.0,0.0,209.76933013011316
29,2021-09-10,214.40130530611867,197.59710589416176,221.9773909188271,212.81541926607628,215.92902975683938,-4.631975176005516,-4.631975176005516,-4.631975176005516,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142409464,-2.7481718142409464,-2.7481718142409464,2.691598231094469,2.691598231094469,2.691598231094469,0.0,0.0,0.0,209.76933013011316
30,2021-09-17,215.25092579529468,198.14523847799757,221.78160387478172,213.5105755370233,216.94114895119301,-5.0845735315832075,-5.0845735315832075,-5.0845735315832075,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142426743,-2.7481718142426743,-2.7481718142426743,2.2389998755185045,2.2389998755185045,2.2389998755185045,0.0,0.0,0.0,210.16635226371147
31,2021-09-17,215.25092579529468,197.7779925431759,221.73096831430152,213.5105755370233,216.94114895119301,-5.0845735315832075,-5.0845735315832075,-5.0845735315832075,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142426743,-2.7481718142426743,-2.7481718142426743,2.2389998755185045,2.2389998755185045,2.2389998755185045,0.0,0.0,0.0,210.16635226371147
32,2021-09-23,215.97917192887408,200.74622523227927,224.68454707412997,214.08879013478116,217.84085152650516,-3.8010158375172804,-3.8010158375172804,-3.8010158375172804,-4.575401592859039,-4.575401592859039,-4.575401592859039,-0.11145417218793646,-0.11145417218793646,-0.11145417218793646,0.885839927529694,0.885839927529694,0.885839927529694,0.0,0.0,0.0,212.1781560913568
33,2021-09-24,216.1005462844706,196.81342420839528,221.73194233540514,214.18316182569083,217.99270292439797,-6.674988500143196,-6.674988500143196,-6.674988500143196,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242462,-2.748171814242462,-2.748171814242462,0.6485849069583047,0.6485849069583047,0.6485849069583047,0.0,0.0,0.0,209.4255577843274
34,2021-10-01,216.95016677364663,196.8059427162986,220.9402196807361,214.82169758898527,219.01440953625257,-8.096636134776132,-8.096636134776132,-8.096636134776132,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142422507,-2.7481718142422507,-2.7481718142422507,-0.7730627276748425,-0.7730627276748425,-0.7730627276748425,0.0,0.0,0.0,208.8535306388705
35,2021-10-08,217.7997872628226,197.17265614403175,220.60446290270534,215.4965300037511,220.10631960678504,-9.181063176807443,-9.181063176807443,-9.181063176807443,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433627,-2.7481718142433627,-2.7481718142433627,-1.8574897697050414,-1.8574897697050414,-1.8574897697050414,0.0,0.0,0.0,208.61872408601516
36,2021-10-15,218.64940775199858,196.17873077807184,220.50399154853602,216.18979868244276,221.19663516673367,-10.37393232512901,-10.37393232512901,-10.37393232512901,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142437663,-2.7481718142437663,-2.7481718142437663,-3.0503589180262045,-3.0503589180262045,-3.0503589180262045,0.0,0.0,0.0,208.27547542686958
37,2021-10-22,219.49902824117459,195.64029448806647,220.97997292632854,216.82474579464193,222.23745319241493,-11.40663957821552,-11.40663957821552,-11.40663957821552,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242938,-2.748171814242938,-2.748171814242938,-4.083066171113542,-4.083066171113542,-4.083066171113542,0.0,0.0,0.0,208.09238866295905
38,2021-10-29,220.34864873035056,196.29567012482426,222.40592624204677,217.4560942310386,223.3004104281697,-11.127425675236516,-11.127425675236516,-11.127425675236516,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142427263,-2.7481718142427263,-2.7481718142427263,-3.80385226813475,-3.80385226813475,-3.80385226813475,0.0,0.0,0.0,209.22122305511405
39,2021-11-04,221.07689486392997,201.36789185894773,226.33001339204375,218.01964074015223,224.2513203121222,-6.632931531007979,-6.632931531007979,-6.632931531007979,-4.575401592859039,-4.575401592859039,-4.575401592859039,-0.11145417217825702,-0.11145417217825702,-0.11145417217825702,-1.9460757659706833,-1.9460757659706833,-1.9460757659706833,0.0,0.0,0.0,214.44396333292198
